Name,Short,Korean Name,Debut,Company,Members,Orig. Memb.,Fanclub Name,Active
100%,,백퍼센트,9/18/12,TOP Media,4,7,Perfection,Yes
14U,,원포유,4/17/17,BG,14,14,,Yes
1the9,,원더나인,9/19/02,MBK,9,9,,Yes
24K,,투포케이,09/06/12,Choeun,8,6,24U,Yes
2AM,,투에이엠,6/21/08,"JYP, Big Hit",4,4,I Am,No
2PM,,투피엠,07/04/08,JYP,6,7,Hottest,Yes
8Eight,,에이트,09/06/07,Big Hit,3,3,Sweet Voice,No
A-JAX,,에이젝스,06/01/12,DSP,5,7,A-LIGHT,No
A.C.E,ACE,에이스,5/23/17,Beat,5,5,Choice,Yes
A.cian,,에이션,10/10/12,Wings,4,5,,No
A6P,,에이식스피,5/20/15,DS,6,6,,No
AB6IX,,에이비식스,5/22/19,Brand New,5,5,ABNEW,Yes
AlphaBat,,알파벳,11/14/13,Simtong,5,9,,Yes
ASTRO,,아스트로,2/23/16,Fantagio,6,6,AROHA,Yes
ATEEZ,,에이티즈,10/24/18,KQ,8,8,,Yes
B.A.P,BAP,비에이피,1/27/12,TS,6,6,BABY,No
B.Heart,,비하트,1/25/17,Poong,4,4,,Yes
B.I.G,,비아이지,9/14/07,GH,5,5,,Yes
B1A4,,비원에이포,4/19/10,WM,5,5,BANA,Yes
Be.A,,비에이,5/25/17,Chrome,3,5,,Yes
Beatwin,,비트윈,6/14/01,Elen,2,6,,Hiatus
BIGBANG,,빅뱅,8/19/06,YG,4,5,VIP,Yes
Bigflo,,빅플로,7/19/14,HO,5,5,,Yes
BIGSTAR,,빅스타,07/12/12,Brave,5,5,,No
BLACK6IX,,블랙식스,7/17/04,BLACK HOLE,6,6,,Yes
Blanc7,,블랑세븐,3/17/03,Jackpot,7,7,Prism,No
BLK,,비엘케이,11/28/17,Byking,7,7,,No
Block B,,블락비,4/13/11,KQ,7,7,BBC,Yes
Boyfriend,,보이프렌드,5/26/11,Starship,6,6,Bestfriend,No
Boys Republic,,소년공화국,3/13/06,"Happy Tribe, Universal",5,5,Royal Family,Hiatus
BtoB,,비투비,3/21/12,Cube,7,7,Melody,Yes
BTS,Bangtan Boys,방탄소년단,6/13/13,Big Hit,7,7,ARMY,Yes
C-Clown,,씨클라운,6/19/12,Yedang,6,6,Crown,No
CICI,,씨씨,6/27/19,UPVOTE,4,4,,Yes
CIX,,씨아이엑스,7/23/19,C9,5,5,,Yes
CNBLUE,,씨엔블루,1/14/10,FNC,4,4,Boice,Yes
CRAVITY,,크래비티,4/20/04,Starship,9,9,,Yes
