Name,Short,Korean Name,Debut,Company,Members,Orig. Memb.,Fanclub Name,Active
(G)I-DLE,,(여자)아이들,2/18/05,Cube,6,6,,Yes
15&,,피프틴앤드,5/12/10,JYP,2,2,,No
2EYES,,투아이즈,7/20/13,SidusHQ,4,5,,No
2NE1,,투애니원,6/9/05,YG,4,4,Blackjack,No
3YE,,써드아이,5/21/19,GH,3,3,,Yes
4Minute,,포미닛,6/15/09,Cube,5,5,4nia,No
4TEN,,포텐,8/26/14,Jungle,4,4,,Yes
9Muses,Nine Muses,나인뮤지스,12/10/08,Star Empire,4,9,MINE,No
A.DE,,에이디이,7/23/16,2ABLE,6,7,,No
ABRY,,에이브리,11/15/17,withHC,4,4,,Yes
After School,,애프터스쿨,1/15/09,Pledis,6,5,Playgirlz,No
AiRiSu,,아이리수,7/25/18,Jang,4,4,,Yes
ANS,,에이엔에스,9/16/19,ANS,8,6,,Yes
AOA,,에이오에이,7/30/12,FNC,5,8,ELVIS,Yes
Apink,,에이핑크,4/19/11,Plan A,6,7,Pink Panda,Yes
Apple.B,,애플비,1/17/08,GH,5,5,,No
April,,에이프릴,8/24/15,DSP,6,6,Fineapple,Yes
Ariaz,,아리아즈,10/23/19,Rising Star,6,6,,Yes
Baby V.O.X,,베이비복스,7/5/97,DR Music,5,5,,No
Badkiz,,배드키즈,3/24/14,Zoo,5,5,,Yes
Berry Good,,베리굿,5/21/14,Asia Bridge,6,5,,Yes
BESTie,,베스티,11/13/07,YNB,4,4,BESTiny,No
BLACKPINK,,블랙핑크,8/16/08,YG,4,4,,Yes
Blady,,블레이디,5/16/11,Star Planet,5,4,Hi ade,No
Bloomy,,블루미,1/16/02,DS,4,4,,Yes
Bob Girls,,단발머리,10/14/06,Chrome,4,4,,No
Bolbbalgan4,BOL4,볼빨간사춘기,4/22/16,Shofar,2,2,,Yes
Bonus Baby,,보너스베이비,1/17/01,Maroo,6,6,,Hiatus
Brave Girls,,브레이브걸스,3/31/11,Brave,5,5,,Yes
Brown Eyed Girls,B.E.G.,브라운 아이드 걸스,2/6/03,Mystic,4,4,Everlasting,Yes
Bulldok,,불독,10/20/16,Kconic,5,3,,No
Busters,,버스터즈,11/27/17,JTG,5,5,Bu-Chu,Yes
BVNDIT,,밴디트,10/19/04,MNH,5,5,,Yes
C-REAL,,씨리얼,11/11/10,NAP,3,5,,No
Camila,,카밀라,8/29/18,Camila,3,3,,No
Cherry Bullet,,체리블렛,1/21/19,FNC,7,10,,Yes
Cherry On Top,,체리온탑,9/18/08,United,4,4,,Yes
ChoColat,,쇼콜라,8/16/11,Paramount,5,5,Chocolatier,No
cignature,,시그니처,4/20/02,C9,7,7,,Yes
CLC,,씨엘씨,3/18/15,Cube,7,5,Chesire,Yes
CoCoSoRi,,코코소리,5/16/01,MOLE,2,2,,No
Crayon Pop,,크레용팝,7/17/12,Chrome,4,5,,No
D-Unit,,디유닛,1/12/08,D-Business,2,3,Unique,No
D.Holic,,디홀릭,10/29/14,H.Mate,4,5,,No
Dal Shabet,,달샤벳,3/11/01,Happy Face,4,6,Darling,Hiatus
Davichi,,다비치,4/8/02,CJ E&M,2,2,,Yes
Destiny,,데스티니,9/28/18,D-SIDE,4,4,,Yes
DIA,,다이아,7/14/15,MBK,7,7,AID,Yes
Dorothy,,도로시,8/16/16,Leek Mill,3,5,,No
DreamCatcher,,드림캐쳐,1/13/17,Happy Face,7,7,,Yes
Dreamnote,,드림노트,7/18/11,iME,6,8,,Yes
ELRIS,,엘리스,1/17/07,Hunus,7,5,,Yes
Episode,,에피소드,4/20/02,Pops,5,5,,Yes
Everglow,,에버글로우,3/18/19,Yuehua,6,6,,Yes
EvoL,,이블,10/12/08,Stardom,5,5,Voller,No
EXID,,이엑스아이디,2/16/12,Yedang,5,6,LEGO,Yes
f(x),,에프엑스,8/24/09,SM,4,5,MeU,No
F-ve Dolls,5Dolls,파이브돌스,1/20/11,MBK,6,5,,No
Favorite,,페이버릿,5/17/07,Astory,6,6,,Yes
Fiestar,,피에스타,8/31/12,LOEN,5,6,Let's,No
FLAVOR,,플레이버,11/26/18,FENT,3,3,,Yes
fromis_9,,프로미스나인,1/24/18,Stone,9,9,,Yes
Gavy NJ,,가비엔제이,11/5/11,Good Fellas,3,3,,Yes
Gawi Bawi Bo,GBB,지비비,1/18/05,LOUDers,5,5,,Yes
GeeGu,,지구,10/26/17,NOS,7,9,,Yes
Gfriend,,여자친구,1/15/15,Source,6,6,Buddy,Yes
GI,Global Icon,지아이,3/13/04,Simtong,3,5,,No
Girl's Day,GsD,걸스데이,7/10/07,DreamT,4,5,Dai5y,Hiatus
Girlkind,,걸카인드,1/16/18,Nextlevel,5,5,,Yes
Girls Girls,,여자여자,9/15/12,H Brothers,4,5,,No
Girls' Alert,GsA,소녀주의보,5/25/17,Roots,5,5,,Yes
Girls' Generation,SNSD,소녀시대,5/7/08,SM,5,9,SONE,Yes
GLAM,,글램,7/16/12,Big Hit,4,4,,No
Good Day,,굿데이,8/30/17,C9,10,10,,No
GP Basic,,지피 베이직,3/18/11,Jacyhan,4,6,Spade,No
Greyish,,그레이시,1/17/06,Elijah,4,4,,Yes
Gugudan,,구구단,6/28/16,Jellyfish,8,9,,Yes
GWSN,,공원소녀,5/18/09,Kiwi Pop,7,7,Groo,Yes
H.U.B,HUB,허브,9/17/02,New Planet,5,4,,Yes
Hash Tag,Hashtag,해시태그,11/17/10,LUK,7,7,,Yes
Hello Venus,HV,헬로비너스,9/12/05,Fantagio,6,6,Hello Cupid,No
Heygirls,,헤이걸스,11/20/17,Moai,4,4,,Yes
Hi Cutie,,하이큐티,12/17/10,Space,4,5,,Yes
HighSchool,,여고생,4/30/19,Richworld,4,4,High Class,Yes
Highteen,,하이틴,10/14/16,Elijah,4,4,,Yes
Hinapia,,희나피아,3/19/11,Alseulbit,5,5,,Yes
Hint,,힌트,3/31/17,Starpro,5,7,,Yes
Honey Popcorn,,허니팝콘,3/21/18,Kyun Create,3,3,,Yes
I.C.E,,아이스,11/16/15,HS,3,4,,Yes
ITZY,,있지,12/19/02,JYP,5,5,Mitzy,Yes
IZ*ONE,IZONE,아이즈원,10/29/18,Off The Record,12,12,,Yes
