,Date,Artist,Song Name,Korean Name,Director,Video,Type,Release,Views
0,2020-05-22,AGUST D,Daechwita,대취타,,https://youtu.be/qGjAWJ2zWWI,Boy Solo,Major,320920424
1,2020-05-21,YUBIN,yaya (Me Time),넵넵,,https://youtu.be/BJD0arHF_5c,Girl Solo,Major,1123874
2,2020-05-21,ONLYONEOF,Angel (prod. GRAY),,,https://youtu.be/vVTo8p72FxQ,Boy,Major,7413129
3,2020-05-20,RYU SUJEONG,Tiger Eyes,,,https://youtu.be/aE6curPGQRY,Girl Solo,Major,2597821
4,2020-05-20,CRUSH,Mayday feat. Joy (Red Velvet),자나깨나,,https://youtu.be/29ycT6fA-Rs,Boy Solo,Major,14223948
5,2020-05-19,NCT 127,Punch,,,https://youtu.be/U08OSl3V4po,Boy,Major,41600541
6,2020-05-19,SECRET NUMBER,Who Dis?,,,https://youtu.be/mkYwq_CKpyw,Girl,Major,42345376
7,2020-05-18,REDSQUARE,ColorFull,,,https://youtu.be/we1wqjcsYBU,Girl,Major,226696
8,2020-05-18,N.FLYING,Amnesia,,,https://youtu.be/UcxNeKzdDN4,Boy,Japanese,387447
9,2020-05-18,TXT,Can't You See Me?,"세계가 불타버린 밤, 우린...",,https://youtu.be/cMFHUTJ13Ys,Boy,Major,58495408
10,2020-05-15,WOO!AH!,woo!ah!,우아,,https://youtu.be/FBcuYNTmYdM,Girl,Major,637337
11,2020-05-15,OH MY GIRL,Dolphin,,,https://youtu.be/oaRTMjLdiDw,Girl,Special,27012469
12,2020-05-14,UNVS,Give You Up,,,https://youtu.be/AhHkUqlELvU,Boy,Major,156834
13,2020-05-13,BUSTERS,Paeonia,피오니아,,https://youtu.be/ocFqqAMooSk,Girl,Major,367639
14,2020-05-13,BOL4,Hug,품,,https://youtu.be/qfeoX17dav0,Girl,Major,4180719
15,2005-12-20,BVNDIT,Jungle,정글,,https://youtu.be/-lqsGDqkl2c,Girl,Major,1432605
16,2005-12-20,"BAEK Z YOUNG, ONG SEONGWU",didn't say anything,아무런 말들도,,https://youtu.be/nfEPWfKtS0k,Co-ed,Special,801894
17,2005-11-20,NU'EST,I'm In Trouble,,,https://youtu.be/4Lm9u-iXrDc,Boy,Major,23695958
18,2005-11-20,DAY6,Zombie,,,https://youtu.be/k8gx-C7GCGU,Boy,Major,17143887
19,2005-07-20,MOON JONGUP,Headache feat. Yunhway,개화,,https://youtu.be/KTAZ7I8RylM,Boy Solo,Major,230104
20,2005-07-20,NATTY,Nineteen,,,https://youtu.be/rQpWdm5zHOU,Girl Solo,Major,8274376
21,2005-07-20,BOL4,Leo feat. Baekhyun,,,https://youtu.be/L8UUYfe6-UA,Girl,Major,11268223
22,2005-06-20,IU,eight feat. SUGA,에잇,,https://youtu.be/TgOu00Mf3kI,Girl Solo,Major,150252886
23,2005-05-20,2Z,Doctor,,,https://youtu.be/JipujX1_8aQ,Boy,Major,98742
24,2005-04-20,ASTRO,Knock,널 찾아가,,https://youtu.be/Zz7YZtpz2Ek,Boy,Major,26060287
25,2005-04-20,FANATICS,VAVI GIRL,,,https://youtu.be/10fv5Do3McY,Girl,Major,4057815
26,2005-04-20,TAEYEON,Happy,,,https://youtu.be/Raj-AuQgCTg,Girl Solo,Major,10912228
27,2020-04-29,NCT DREAM,Ridin',라이딘,,https://youtu.be/vofjeJvRT9c,Boy,Major,71924146
28,2020-04-29,BIBI,Kazino,사장님 도박은 재미로 하셔야 합니다,Segaji Video,https://youtu.be/ObzvA8tx9aA,Girl Solo,Major,10166588
29,2020-04-28,HA:TFELT,Life Sucks,,,https://youtu.be/Qk0fkeMAUz0,Girl Solo,Major,0
30,2020-04-28,MINSEO,No Good Girl,,,https://youtu.be/Ctlp1NNqXq0,Girl Solo,Major,631839
31,2020-04-28,GWSN,Bazooka!,바주카,ZANYBROS,https://youtu.be/wMj3sLP_azg,Girl,Major,26044088
32,2020-04-27,OH MY GIRL,Nonstop,살짝 설렜어,,https://youtu.be/iDjQSdN_ig8,Girl,Major,77257532
33,2020-04-27,CHUNGHA,Stay Tonight,,Rigend Film,https://youtu.be/YPFIh0dfYfw,Girl Solo,Major,24179149
34,2020-04-26,NOIR,Lucifer,,,https://youtu.be/30dfBPkKcRE,Boy,Major,1197657
35,2020-04-26,HA:TFELT,Solitude,,,https://youtu.be/eto1czNzbwY,Girl Solo,Major,0
36,2020-04-26,BEN,Bad,나쁜 놈,,https://youtu.be/BYQ5MKtSzd0,Girl Solo,Major,183561
37,2020-04-23,HA:TFELT,Satellite,,,https://youtu.be/aiaLSkDDBec,Girl Solo,Major,0
38,2020-04-23,SOLAR,Spit it out,뱉어,,https://youtu.be/V8FXWf0s7K0,Girl Solo,Major,20679959
39,2020-04-23,ZICO X KANG DANIEL,Refresh,,,https://youtu.be/k7aIhVBX3hw,Boy,CF,12114469
40,2020-04-22,APRIL,LALALILALA,라라리라라,,https://youtu.be/cO9DbwTF7rY,Girl,Major,6617377
41,2020-04-22,H&D,Good Night,,,https://youtu.be/7JfEAusJ3OM,Boy,Minor,763991
42,2020-04-21,IMFACT,Lie,거짓말이야,,https://youtu.be/lOQStviApZ4,Boy,Minor,105248
43,2020-04-21,HA:TFELT,Satellite (Feat. ASH ISLAND),,,https://youtu.be/aiaLSkDDBec,Girl Solo,Major,0
44,2020-04-21,H&D,Soul,,,https://youtu.be/ej-Yo2E-Pio,Boy,Major,1446473
45,2020-04-20,GOT7,Not By The Moon,,,https://youtu.be/ladClnnJhqg,Boy,Major,85234856
46,2020-04-20,BVNDIT,Children,,,https://youtu.be/IRYBMJ2qSns,Girl,Minor,289750
47,2020-04-18,ZELO,She and Malibu,그녀와는 말리부,,https://youtu.be/EFjCTvNZU1s,Boy Solo,Major,182203
48,2020-04-17,MONSTA X,YOU CAN'T HOLD MY HEART,,,https://youtu.be/AWV3pIesd0Y,Boy,English,12760120
49,2020-04-14,CRAVITY,Break All The Rules,,HIGHQUALITYFISH,https://youtu.be/NFlceOv8LMU,Boy,Major,14973088
50,2020-04-13,APINK,Dumhdurum,덤더럼,VIKINGS LEAGUE,https://youtu.be/WqzTRK5GPWQ,Girl,Major,35854956
51,2020-04-13,GIRLKIND,Future,퓨쳐,,https://youtu.be/qXGRDLwR-EM,Girl,Major,234762
52,2004-10-20,KEEMBO,"Thank You, Anyway",,,https://youtu.be/b8Yqo91ahZk,Girl,Major,51957
53,2004-09-20,WINNER,Remember,,,https://youtu.be/NTJ8esMHW2E,Boy,Major,25328301
54,2004-09-20,MCND,Spring,떠,,https://youtu.be/GpYOfM_PwZg,Boy,Major,14484606
55,2004-09-20,DALSOOOBIN,Dive,다이브,,https://youtu.be/IENMc46TMtU,Girl Solo,Major,154594
56,2004-08-20,UNVS,Solar Eclipse (feat room102),절대 모를거야,,https://youtu.be/ger1cmhBmT4,Boy,Major,99571
